#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0051345	positive regulation of hydrolase activity	4	742	0.91	0.0053	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838	RIPK3,DAB2IP,RIPK1,FADD
GO:0071260	cellular response to mechanical stimulus	2	78	1.59	0.0058	9606.ENSP00000301838,9606.ENSP00000382423	FADD,MAP3K1
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	2	85	1.55	0.0068	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
GO:0044265	cellular macromolecule catabolic process	4	842	0.85	0.0081	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000314709,9606.ENSP00000354621	DAB2IP,RIPK1,ZHX2,SMURF1
GO:2000379	positive regulation of reactive oxygen species metabolic process	2	94	1.51	0.0081	9606.ENSP00000216274,9606.ENSP00000259808	RIPK3,RIPK1
GO:0032649	regulation of interferon-gamma production	2	97	1.49	0.0085	9606.ENSP00000216274,9606.ENSP00000301838	RIPK3,FADD
GO:0043066	negative regulation of apoptotic process	4	859	0.85	0.0087	9606.ENSP00000256078,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226	KRAS,RIPK1,FADD,HIPK3
GO:0048732	gland development	3	395	1.06	0.0091	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000301838	RIPK3,KRAS,FADD
GO:1903508	positive regulation of nucleic acid-templated transcription	5	1520	0.69	0.0094	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000328364	RIPK3,DAB2IP,RIPK1,FADD,MAFA
GO:0033554	cellular response to stress	5	1553	0.69	0.0103	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	DAB2IP,RIPK1,SMURF1,MAP2K7,MAP3K1
GO:0045597	positive regulation of cell differentiation	4	908	0.82	0.0103	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000354621	DAB2IP,RIPK1,FADD,SMURF1
GO:0006950	response to stress	7	3267	0.51	0.0105	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	KRAS,DAB2IP,RIPK1,FADD,SMURF1,MAP2K7,MAP3K1
GO:0002376	immune system process	6	2370	0.58	0.0108	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000382423	RIPK3,KRAS,DAB2IP,RIPK1,FADD,MAP3K1
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	2	122	1.39	0.0122	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
GO:0048523	negative regulation of cellular process	8	4454	0.43	0.0124	9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000314709,9606.ENSP00000354621	KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,ZHX2,SMURF1
GO:0051291	protein heterooligomerization	2	126	1.38	0.0128	9606.ENSP00000216274,9606.ENSP00000259808	RIPK3,RIPK1
GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process	2	127	1.37	0.0129	9606.ENSP00000259371,9606.ENSP00000354621	DAB2IP,SMURF1
GO:0071363	cellular response to growth factor stimulus	3	477	0.98	0.0139	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000354621	DAB2IP,RIPK1,SMURF1
GO:0090288	negative regulation of cellular response to growth factor stimulus	2	137	1.34	0.0146	9606.ENSP00000259371,9606.ENSP00000354621	DAB2IP,SMURF1
GO:0034097	response to cytokine	4	1035	0.76	0.0150	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000381070	KRAS,DAB2IP,RIPK1,MAP2K7
GO:0009628	response to abiotic stimulus	4	1052	0.76	0.0158	9606.ENSP00000256078,9606.ENSP00000301838,9606.ENSP00000381070,9606.ENSP00000382423	KRAS,FADD,MAP2K7,MAP3K1
GO:0001959	regulation of cytokine-mediated signaling pathway	2	151	1.3	0.0169	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
GO:0010628	positive regulation of gene expression	5	1826	0.62	0.0181	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000328364	KRAS,DAB2IP,RIPK1,FADD,MAFA
GO:0045944	positive regulation of transcription by RNA polymerase II	4	1104	0.74	0.0181	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000328364	DAB2IP,RIPK1,FADD,MAFA
GO:2000026	regulation of multicellular organismal development	5	1876	0.6	0.0200	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000314709,9606.ENSP00000354621	DAB2IP,RIPK1,FADD,ZHX2,SMURF1
GO:0044257	cellular protein catabolic process	3	562	0.9	0.0203	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000354621	DAB2IP,RIPK1,SMURF1
GO:0018105	peptidyl-serine phosphorylation	2	173	1.24	0.0211	9606.ENSP00000259808,9606.ENSP00000304226	RIPK1,HIPK3
GO:0051239	regulation of multicellular organismal process	6	2788	0.51	0.0211	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000314709,9606.ENSP00000354621	RIPK3,DAB2IP,RIPK1,FADD,ZHX2,SMURF1
GO:0045664	regulation of neuron differentiation	3	595	0.88	0.0227	9606.ENSP00000259371,9606.ENSP00000314709,9606.ENSP00000354621	DAB2IP,ZHX2,SMURF1
GO:0001817	regulation of cytokine production	3	615	0.87	0.0248	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000301838	RIPK3,RIPK1,FADD
GO:0042063	gliogenesis	2	196	1.19	0.0255	9606.ENSP00000256078,9606.ENSP00000259371	KRAS,DAB2IP
GO:0071356	cellular response to tumor necrosis factor	2	197	1.18	0.0257	9606.ENSP00000259371,9606.ENSP00000259808	DAB2IP,RIPK1
GO:0046777	protein autophosphorylation	2	198	1.18	0.0259	9606.ENSP00000216274,9606.ENSP00000259808	RIPK3,RIPK1
GO:0046578	regulation of Ras protein signal transduction	2	210	1.16	0.0284	9606.ENSP00000256078,9606.ENSP00000259371	KRAS,DAB2IP
GO:0045596	negative regulation of cell differentiation	3	683	0.82	0.0311	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000314709	KRAS,DAB2IP,ZHX2
GO:0010976	positive regulation of neuron projection development	2	251	1.08	0.0380	9606.ENSP00000259371,9606.ENSP00000354621	DAB2IP,SMURF1
GO:0030334	regulation of cell migration	3	753	0.78	0.0391	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000301838	RIPK3,DAB2IP,FADD
GO:0002768	immune response-regulating cell surface receptor signaling pathway	2	266	1.05	0.0418	9606.ENSP00000256078,9606.ENSP00000382423	KRAS,MAP3K1
GO:0022607	cellular component assembly	5	2343	0.51	0.0438	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000308351,9606.ENSP00000354621	RIPK3,RIPK1,FADD,MLKL,SMURF1
GO:0065003	protein-containing complex assembly	4	1514	0.6	0.0458	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000308351	RIPK3,RIPK1,FADD,MLKL
GO:0000122	negative regulation of transcription by RNA polymerase II	3	809	0.75	0.0461	9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000314709	DUSP26,DAB2IP,ZHX2
GO:0022008	neurogenesis	4	1519	0.6	0.0461	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000314709,9606.ENSP00000354621	KRAS,DAB2IP,ZHX2,SMURF1
GO:0009416	response to light stimulus	2	290	1.02	0.0475	9606.ENSP00000256078,9606.ENSP00000381070	KRAS,MAP2K7
GO:0051240	positive regulation of multicellular organismal process	4	1551	0.59	0.0484	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000354621	DAB2IP,RIPK1,FADD,SMURF1
